id,inning,batsman,batsman_hand,leftfast_bowlers,leftfast_cumruns,leftfast_cumballs,leftfast_cumdismissals,leftfastmedium_bowlers,leftfastmedium_cumruns,leftfastmedium_cumballs,leftfastmedium_cumdismissals,leftlegbreak_bowlers,leftlegbreak_cumruns,leftlegbreak_cumballs,leftlegbreak_cumdismissals,leftmedium_bowlers,leftmedium_cumruns,leftmedium_cumballs,leftmedium_cumdismissals,leftmediumfast_bowlers,leftmediumfast_cumruns,leftmediumfast_cumballs,leftmediumfast_cumdismissals,leftmystery_bowlers,leftmystery_cumruns,leftmystery_cumballs,leftmystery_cumdismissals,leftorthodox_bowlers,leftorthodox_cumruns,leftorthodox_cumballs,leftorthodox_cumdismissals,rightfast_bowlers,rightfast_cumruns,rightfast_cumballs,rightfast_cumdismissals,rightfastmedium_bowlers,rightfastmedium_cumruns,rightfastmedium_cumballs,rightfastmedium_cumdismissals,rightlegbreak_bowlers,rightlegbreak_cumruns,rightlegbreak_cumballs,rightlegbreak_cumdismissals,rightmedium_bowlers,rightmedium_cumruns,rightmedium_cumballs,rightmedium_cumdismissals,rightmediumfast_bowlers,rightmediumfast_cumruns,rightmediumfast_cumballs,rightmediumfast_cumdismissals,rightmystery_bowlers,rightmystery_cumruns,rightmystery_cumballs,rightmystery_cumdismissals,rightorthodox_bowlers,rightorthodox_cumruns,rightorthodox_cumballs,rightorthodox_cumdismissals,overall_runs,overall_balls,overall_dismissed
335982,1,BB McCullum,right,0,0,0,0,1,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,11,0,0,0,0,0,2,56,30,0,1,16,4,0,0,0,0,0,1,32,17,0,0,0,0,0,0,0,0,0,158,77,0
335982,1,DJ Hussey,right,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,1,1,4,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,1
335982,1,Mohammad Hafeez,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0
335982,1,RT Ponting,right,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,2,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1
335982,1,SC Ganguly,left,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,1,5,8,0,0,0,0,0,0,0,0,0,10,12,1
335982,2,AA Noffke,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0,0,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,9,12,1
335982,2,B Akhil,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
335982,2,CL White,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,1
335982,2,JH Kallis,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1
335982,2,MV Boucher,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,11,1
