,Predicted
0,40.2740024105915
1,44.31784537212284
2,24.392506969218495
3,34.6043507533507
4,22.838536032344187
5,19.06374653452476
6,8.046212960761316
7,7.306127526496279
8,33.08335160253214
9,28.525569236310773
10,33.562046024138205
11,19.677994729601174
12,14.868450717318932
13,39.46338943488438
14,7.306127526496279
15,21.276844736140156
16,31.50945032032665
17,47.400926112510895
18,7.306127526496279
19,64.37192702435841
20,25.288935810207374
21,48.028604564858604
22,94.79533114105509
23,42.86256852103134
24,31.260707403735697
25,17.170007473507592
26,16.224699960606472
27,20.49904732695226
28,48.414726702189434
29,53.20883754974323
30,34.07028400793532
31,79.80571057520585
32,66.958876882603
